sample_id,block,patch,point,month,day,year,date,pvin,mbis,otub,bpro,pign,open,cvig,dcar,cmin,alec,dgib,ocon,gbla,ostr,aaeg,osyl,...18,...19,sum
51,52,c,3,8,12,2024,2024-08-12T00:00:00Z,0,0,0,0,20,6,21,8,0,2,0,0,0,0,5,1,0,0,63
52,52,w,1,8,12,2024,2024-08-12T00:00:00Z,0,0,0,0,15,3,33,10,0,0,0,0,0,0,18,0,0,0,79
53,52,w,2,8,12,2024,2024-08-12T00:00:00Z,0,0,0,1,18,1,27,7,0,1,0,0,0,0,5,2,0,0,62
54,52,w,3,8,12,2024,2024-08-12T00:00:00Z,0,0,0,0,9,1,8,3,0,0,0,0,0,0,2,0,0,0,23
55,52,r,1,8,12,2024,2024-08-12T00:00:00Z,1,0,0,0,14,0,32,11,0,4,0,0,0,0,9,0,0,0,71
56,52,r,2,8,12,2024,2024-08-12T00:00:00Z,0,0,0,1,4,3,12,8,0,0,0,0,0,0,13,0,0,0,41
57,52,r,3,8,12,2024,2024-08-12T00:00:00Z,0,0,0,3,11,0,14,5,0,2,0,0,0,0,6,0,0,0,41
58,52,m,1,8,12,2024,2024-08-12T00:00:00Z,0,0,0,0,24,3,7,4,0,3,0,0,0,0,3,0,0,0,44
59,52,m,2,8,12,2024,2024-08-12T00:00:00Z,0,0,0,1,22,26,56,13,0,9,0,0,0,0,62,0,0,0,189
60,52,m,3,8,12,2024,2024-08-12T00:00:00Z,0,0,0,0,18,6,60,6,0,4,0,0,0,0,38,0,0,0,132
61,53n,c,1,8,15,2024,2024-08-15T00:00:00Z,0,0,0,1,7,0,16,5,0,4,0,0,0,0,4,0,0,0,37
62,53n,c,2,8,15,2024,2024-08-15T00:00:00Z,0,0,0,2,4,1,10,9,0,14,0,0,0,0,1,0,0,0,41
63,53n,c,3,8,15,2024,2024-08-15T00:00:00Z,0,0,0,0,10,0,19,4,0,17,0,0,0,0,18,0,0,0,68
64,53n,w,1,8,15,2024,2024-08-15T00:00:00Z,0,0,0,2,3,0,7,2,0,2,0,0,0,0,1,0,0,0,17
65,53n,w,2,8,15,2024,2024-08-15T00:00:00Z,1,0,0,0,9,0,5,6,0,17,0,0,0,0,1,0,0,0,39
66,53n,w,3,8,15,2024,2024-08-15T00:00:00Z,2,0,0,0,8,0,10,3,0,0,0,0,0,0,4,0,0,0,27
67,53n,r,1,8,15,2024,2024-08-15T00:00:00Z,5,0,0,2,6,2,6,3,0,4,0,0,0,0,0,1,0,0,29
68,53n,r,2,8,15,2024,2024-08-15T00:00:00Z,1,0,0,0,14,3,12,8,0,0,0,0,0,0,4,0,0,0,42
69,53n,r,3,8,15,2024,2024-08-15T00:00:00Z,1,5,0,2,9,0,15,4,0,2,0,0,0,0,1,0,0,0,39
70,53n,m,1,8,15,2024,2024-08-15T00:00:00Z,0,1,0,0,1,0,11,3,0,5,0,0,0,0,3,1,0,0,25
71,53n,m,2,8,15,2024,2024-08-15T00:00:00Z,2,1,0,0,12,3,7,9,0,1,0,0,0,0,2,0,0,0,37
72,53n,m,3,8,15,2024,2024-08-15T00:00:00Z,3,0,0,1,12,2,19,7,1,5,0,0,0,1,4,0,0,0,55
73,52,r,1,8,16,2024,2024-08-16T00:00:00Z,2,0,0,0,4,1,3,3,0,1,0,0,0,0,3,0,0,0,17
74,52,r,2,8,16,2024,2024-08-16T00:00:00Z,2,0,0,0,5,1,18,3,0,2,0,0,0,0,3,0,0,0,34
75,52,r,3,8,16,2024,2024-08-16T00:00:00Z,0,0,0,0,5,0,5,1,0,1,0,0,0,0,0,0,0,0,12
76,52,m,1,8,16,2024,2024-08-16T00:00:00Z,0,1,0,0,10,1,7,4,0,2,0,0,0,0,3,0,0,0,28
77,52,m,2,8,16,2024,2024-08-16T00:00:00Z,0,1,0,0,14,6,44,5,0,4,0,0,0,0,16,1,0,0,91
78,52,m,3,8,16,2024,2024-08-16T00:00:00Z,0,0,0,0,7,0,41,10,0,1,0,0,0,0,22,0,0,0,81
79,52,w,1,8,16,2024,2024-08-16T00:00:00Z,4,0,0,2,7,2,16,7,0,0,0,0,0,0,2,1,0,0,41
80,52,w,2,8,16,2024,2024-08-16T00:00:00Z,3,0,0,1,6,5,11,6,0,0,0,0,0,0,3,0,0,0,35
81,52,w,3,8,16,2024,2024-08-16T00:00:00Z,0,0,0,0,3,3,6,10,0,0,0,0,0,0,2,0,0,0,24
82,52,c,1,8,16,2024,2024-08-16T00:00:00Z,0,0,0,1,1,5,19,6,0,0,0,0,0,0,1,0,0,0,33
83,52,c,2,8,16,2024,2024-08-16T00:00:00Z,2,0,0,2,4,7,1,2,0,0,0,0,0,0,2,0,0,0,20
84,52,c,3,8,16,2024,2024-08-16T00:00:00Z,0,0,0,1,6,6,10,9,0,1,0,0,0,0,1,0,0,0,34
85,53n,m,1,8,19,2024,2024-08-19T00:00:00Z,0,0,0,0,3,2,16,9,0,3,1,0,0,0,1,0,0,0,35
86,53n,m,2,8,19,2024,2024-08-19T00:00:00Z,0,1,0,0,4,0,16,2,0,5,0,0,0,0,5,0,0,0,33
87,53n,m,3,8,19,2024,2024-08-19T00:00:00Z,0,0,0,0,5,2,8,5,0,15,0,0,0,0,4,0,0,0,39
88,53n,r,1,8,19,2024,2024-08-19T00:00:00Z,0,1,0,2,3,1,10,1,0,4,0,0,0,0,0,0,0,0,22
89,53n,r,2,8,19,2024,2024-08-19T00:00:00Z,0,3,0,0,4,2,2,5,0,3,1,0,0,0,0,0,0,0,20
90,53n,r,3,8,19,2024,2024-08-19T00:00:00Z,1,2,0,0,8,1,9,2,0,1,0,0,0,0,2,0,0,0,26
91,53n,w,1,8,19,2024,2024-08-19T00:00:00Z,1,0,0,0,1,0,6,3,0,4,0,0,0,0,1,0,0,0,16
92,53n,w,2,8,19,2024,2024-08-19T00:00:00Z,0,0,0,1,1,1,9,3,0,5,0,0,0,0,1,0,0,0,21
93,53n,w,3,8,19,2024,2024-08-19T00:00:00Z,0,0,0,2,1,0,0,1,0,3,0,0,0,0,1,0,0,0,8
94,53n,c,1,8,19,2024,2024-08-19T00:00:00Z,1,1,0,1,3,0,9,1,0,2,0,0,0,0,0,0,0,0,18
95,53n,c,2,8,19,2024,2024-08-19T00:00:00Z,0,1,0,0,5,0,4,7,0,11,0,0,0,0,1,0,0,0,29
96,53n,c,3,8,19,2024,2024-08-19T00:00:00Z,0,1,0,2,6,0,25,8,0,7,0,0,0,0,1,1,0,0,51
97,52,w,1,8,20,2024,2024-08-20T00:00:00Z,1,1,0,0,5,2,8,8,0,0,0,0,0,0,5,0,0,0,30
98,52,w,2,8,20,2024,2024-08-20T00:00:00Z,0,0,0,0,8,0,7,6,0,0,0,0,0,0,2,0,0,0,23
99,52,w,3,8,20,2024,2024-08-20T00:00:00Z,0,0,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,9
100,52,c,1,8,20,2024,2024-08-20T00:00:00Z,0,0,0,0,3,3,2,2,0,0,0,0,0,0,2,0,0,0,12
101,52,c,2,8,20,2024,2024-08-20T00:00:00Z,0,0,0,0,18,2,4,1,0,0,0,0,0,0,1,0,0,0,26
102,52,c,3,8,20,2024,2024-08-20T00:00:00Z,0,0,0,0,7,6,5,2,0,0,0,0,0,0,1,0,0,0,21
103,52,r,1,8,20,2024,2024-08-20T00:00:00Z,0,0,0,0,3,0,2,2,0,3,0,0,0,0,2,0,0,0,12
104,52,r,2,8,20,2024,2024-08-20T00:00:00Z,3,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,8
105,52,r,3,8,20,2024,2024-08-20T00:00:00Z,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5
106,52,m,1,8,20,2024,2024-08-20T00:00:00Z,1,0,0,0,2,1,2,4,0,0,0,0,0,0,1,0,0,0,11
107,52,m,2,8,20,2024,2024-08-20T00:00:00Z,0,0,0,0,3,0,9,6,0,1,0,0,0,0,6,0,0,0,25
108,52,m,3,8,20,2024,2024-08-20T00:00:00Z,0,0,0,0,6,0,13,6,0,6,0,0,0,0,23,0,0,0,54
109,54,w,1,8,20,2024,2024-08-20T00:00:00Z,4,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,9
110,54,w,2,8,20,2024,2024-08-20T00:00:00Z,3,1,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,12
111,54,w,3,8,20,2024,2024-08-20T00:00:00Z,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,7
112,54,r,1,8,20,2024,2024-08-20T00:00:00Z,5,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,14
113,54,r,2,8,20,2024,2024-08-20T00:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
114,54,r,3,8,20,2024,2024-08-20T00:00:00Z,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9
115,54,m,1,8,20,2024,2024-08-20T00:00:00Z,1,1,0,0,0,1,4,3,0,0,1,0,0,0,1,0,0,0,12
116,54,m,2,8,20,2024,2024-08-20T00:00:00Z,1,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,10
117,54,m,3,8,20,2024,2024-08-20T00:00:00Z,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,5
118,54,c,1,8,20,2024,2024-08-20T00:00:00Z,2,1,0,0,5,1,0,8,0,0,0,0,0,0,2,0,0,0,19
119,54,c,2,8,20,2024,2024-08-20T00:00:00Z,1,0,0,0,4,0,0,2,1,0,1,0,0,0,0,0,0,0,9
120,54,c,3,8,20,2024,2024-08-20T00:00:00Z,2,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,7
121,8,m,1,8,21,2024,2024-08-21T00:00:00Z,0,1,0,0,1,0,0,0,0,22,0,0,0,0,2,0,0,0,26
122,8,m,2,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,0,0,0,3,0,21,0,0,0,0,2,0,0,0,26
123,8,m,3,8,21,2024,2024-08-21T00:00:00Z,0,1,0,0,0,0,1,1,0,11,0,0,0,0,2,0,0,0,16
124,8,r,1,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,0,13
125,8,r,2,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,10
126,8,r,3,8,21,2024,2024-08-21T00:00:00Z,1,2,0,0,6,0,1,1,0,9,0,0,0,0,0,0,0,0,20
127,8,c,1,8,21,2024,2024-08-21T00:00:00Z,0,1,0,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,10
128,8,c,2,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,5
129,8,c,3,8,21,2024,2024-08-21T00:00:00Z,2,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,0,23
130,8,w,1,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,7
131,8,w,2,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,8,0,1,0,0,7,0,0,0,0,2,0,0,0,18
132,8,w,3,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
133,53n,c,1,8,21,2024,2024-08-21T00:00:00Z,2,1,0,1,7,0,6,0,0,11,0,0,0,0,0,0,0,0,28
134,53n,c,2,8,21,2024,2024-08-21T00:00:00Z,0,1,0,2,6,0,4,2,0,10,0,0,0,0,4,0,0,0,29
135,53n,c,3,8,21,2024,2024-08-21T00:00:00Z,0,0,0,2,7,5,12,3,0,10,0,0,0,0,6,0,0,0,45
136,53n,w,1,8,21,2024,2024-08-21T00:00:00Z,2,1,0,3,6,3,10,6,0,2,0,0,0,0,1,0,0,0,34
137,53n,w,2,8,21,2024,2024-08-21T00:00:00Z,1,0,0,0,4,0,3,2,0,22,0,0,0,0,2,0,0,0,34
138,53n,w,3,8,21,2024,2024-08-21T00:00:00Z,0,1,0,1,6,1,2,5,0,18,0,0,0,0,0,0,0,0,34
139,53n,r,1,8,21,2024,2024-08-21T00:00:00Z,3,0,0,0,4,7,1,1,0,2,0,0,0,0,0,0,0,0,18
140,53n,r,2,8,21,2024,2024-08-21T00:00:00Z,0,0,0,1,10,6,0,1,0,8,0,0,0,0,1,0,0,0,27
141,53n,r,3,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,15,3,3,1,0,2,0,0,0,0,0,0,0,0,24
142,53n,m,1,8,21,2024,2024-08-21T00:00:00Z,0,6,0,0,12,6,11,4,0,12,0,0,0,0,9,0,0,0,60
143,53n,m,2,8,21,2024,2024-08-21T00:00:00Z,0,0,0,0,4,2,5,1,0,2,0,0,0,0,14,0,0,0,28
144,53n,m,3,8,21,2024,2024-08-21T00:00:00Z,3,3,0,0,2,3,10,5,0,3,0,0,0,0,5,0,0,0,34
145,54,w,1,8,22,2024,2024-08-22T00:00:00Z,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,54,w,2,8,22,2024,2024-08-22T00:00:00Z,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4
147,54,w,3,8,22,2024,2024-08-22T00:00:00Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,54,r,1,8,22,2024,2024-08-22T00:00:00Z,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
149,54,r,2,8,22,2024,2024-08-22T00:00:00Z,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4
150,54,r,3,8,22,2024,2024-08-22T00:00:00Z,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,5
151,54,c,1,8,22,2024,2024-08-22T00:00:00Z,0,0,0,0,3,2,0,4,0,0,1,0,0,0,0,0,0,0,10
152,54,c,2,8,22,2024,2024-08-22T00:00:00Z,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,6
153,54,c,3,8,22,2024,2024-08-22T00:00:00Z,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,5
154,54,m,1,8,22,2024,2024-08-22T00:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
155,54,m,2,8,22,2024,2024-08-22T00:00:00Z,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
156,54,m,3,8,22,2024,2024-08-22T00:00:00Z,0,2,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,0,10
157,8,r,1,8,22,2024,2024-08-22T00:00:00Z,0,2,0,0,2,0,1,1,0,3,0,0,0,0,0,0,0,0,9
158,8,r,2,8,22,2024,2024-08-22T00:00:00Z,1,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,8
159,8,r,3,8,22,2024,2024-08-22T00:00:00Z,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7
160,8,m,1,8,22,2024,2024-08-22T00:00:00Z,0,0,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0,14
161,8,m,2,8,22,2024,2024-08-22T00:00:00Z,0,1,0,0,0,0,0,3,0,12,0,1,0,0,9,0,0,0,26
162,8,m,3,8,22,2024,2024-08-22T00:00:00Z,0,0,0,0,1,0,0,1,0,14,0,0,0,0,1,0,0,0,17
163,8,w,1,8,22,2024,2024-08-22T00:00:00Z,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,6
164,8,w,2,8,22,2024,2024-08-22T00:00:00Z,0,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,7
165,8,w,3,8,22,2024,2024-08-22T00:00:00Z,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4
166,8,c,1,8,22,2024,2024-08-22T00:00:00Z,2,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10
167,8,c,2,8,22,2024,2024-08-22T00:00:00Z,0,2,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,10
168,8,c,3,8,22,2024,2024-08-22T00:00:00Z,0,3,0,0,6,0,2,0,0,4,0,0,0,0,0,0,0,0,15
169,53n,c,1,8,23,2024,2024-08-23T00:00:00Z,0,0,0,1,0,0,10,1,0,13,0,0,0,0,5,0,0,0,30
170,53n,c,2,8,23,2024,2024-08-23T00:00:00Z,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,7
171,53n,c,3,8,23,2024,2024-08-23T00:00:00Z,1,0,0,0,1,3,7,5,0,6,0,0,0,0,10,0,0,0,33
172,53n,w,1,8,23,2024,2024-08-23T00:00:00Z,0,1,0,0,1,1,5,0,0,4,0,0,0,0,0,0,0,0,12
173,53n,w,2,8,23,2024,2024-08-23T00:00:00Z,2,1,0,0,2,0,1,3,0,13,0,0,0,0,0,0,0,0,22
174,53n,w,3,8,23,2024,2024-08-23T00:00:00Z,1,0,0,0,1,0,4,3,0,11,0,0,0,0,0,0,0,0,20
175,53n,r,1,8,23,2024,2024-08-23T00:00:00Z,4,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10
176,53n,r,2,8,23,2024,2024-08-23T00:00:00Z,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4
177,53n,r,3,8,23,2024,2024-08-23T00:00:00Z,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6
178,53n,m,1,8,23,2024,2024-08-23T00:00:00Z,0,1,0,0,3,0,9,4,0,0,0,0,0,0,5,0,0,0,22
179,53n,m,2,8,23,2024,2024-08-23T00:00:00Z,3,5,0,0,6,1,6,2,0,8,0,0,0,0,5,0,0,0,36
180,53n,m,3,8,23,2024,2024-08-23T00:00:00Z,1,4,0,0,3,1,5,2,0,0,0,0,0,0,0,0,0,0,16
181,54,c,1,8,25,2024,2024-08-25T00:00:00Z,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,6
182,54,c,2,8,25,2024,2024-08-25T00:00:00Z,2,0,0,0,2,0,6,3,0,0,0,0,0,0,0,0,0,0,13
183,54,c,3,8,25,2024,2024-08-25T00:00:00Z,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,8
184,54,m,1,8,25,2024,2024-08-25T00:00:00Z,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,5
185,54,m,2,8,25,2024,2024-08-25T00:00:00Z,3,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,9
186,54,m,3,8,25,2024,2024-08-25T00:00:00Z,2,0,0,0,8,1,1,3,0,0,0,0,0,0,1,0,0,0,16
187,54,r,1,8,25,2024,2024-08-25T00:00:00Z,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
188,54,r,2,8,25,2024,2024-08-25T00:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189,54,r,3,8,25,2024,2024-08-25T00:00:00Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,54,w,1,8,25,2024,2024-08-25T00:00:00Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,54,w,2,8,25,2024,2024-08-25T00:00:00Z,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
192,54,w,3,8,25,2024,2024-08-25T00:00:00Z,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4
